Date	Event	Place
6 January, 2016	Bitcoin Wednesday Conference	Amsterdam, Netherlands
12 January, 2016	Blockchain London	London, United Kingdom
22 January, 2016	The North American Bitcoin Conference	Miami, United States
4 March, 2016	Bitcoin Africa Conference	Johannesburg, South Africa
7 March, 2016	Blockchain Conference San Francisco	San Francisco, United States
7 April, 2016	Europe Money 20/20	Copenhagen, Denmark
10 April, 2016	CoinFest 2016	Multiple Locations
11 April, 2016	Innovate Finance Global Summit 2016	London, United Kingdom
12 April, 2016	Inside Bitcoins New York	New York, United States
4 May, 2016	BTC2016	New York, United States
25 May, 2016	Inside Bitcoins Hong Kong	Hong Kong, HK
